pokemon,dex_number,type1,type2,generation,stage,evolves_from
bulbasaur,1,grass,poison,I,1,
ivysaur,2,grass,poison,I,2,bulbasaur
venusaur,3,grass,poison,I,3,ivysaur
charmander,4,fire,,I,1,
charmeleon,5,fire,,I,2,charmander
charizard,6,fire,flying,I,3,charmeleon
squirtle,7,water,,I,1,
wartortle,8,water,,I,2,squirtle
blastoise,9,water,,I,3,wartortle
caterpie,10,bug,,I,1,
metapod,11,bug,,I,2,caterpie
butterfree,12,bug,flying,I,3,metapod
weedle,13,bug,poison,I,1,
kakuna,14,bug,poison,I,2,weedle
beedrill,15,bug,poison,I,3,kakuna
pidgey,16,normal,flying,I,1,
pidgeotto,17,normal,flying,I,2,pidgey
pidgeot,18,normal,flying,I,3,pidgeotto
rattata,19,normal,,I,1,
raticate,20,normal,,I,2,rattata
spearow,21,normal,flying,I,1,
fearow,22,normal,flying,I,2,spearow
ekans,23,poison,,I,1,
arbok,24,poison,,I,2,ekans
pikachu,25,electric,,I,2,pichu
raichu,26,electric,,I,3,pikachu
sandshrew,27,ground,,I,1,
sandslash,28,ground,,I,2,sandshrew
nidoran-f,29,poison,,I,1,
nidorina,30,poison,,I,2,nidoran-f
nidoqueen,31,poison,ground,I,3,nidorina
nidoran-m,32,poison,,I,1,
nidorino,33,poison,,I,2,nidoran-m
nidoking,34,poison,ground,I,3,nidorino
clefairy,35,fairy,,I,2,cleffa
clefable,36,fairy,,I,3,clefairy
vulpix,37,fire,,I,1,
ninetales,38,fire,,I,2,vulpix
jigglypuff,39,normal,fairy,I,2,igglybuff
wigglytuff,40,normal,fairy,I,3,jigglypuff
zubat,41,poison,flying,I,1,
golbat,42,poison,flying,I,2,zubat
oddish,43,grass,poison,I,1,
gloom,44,grass,poison,I,2,oddish
vileplume,45,grass,poison,I,3,gloom
paras,46,bug,grass,I,1,
parasect,47,bug,grass,I,2,paras
venonat,48,bug,poison,I,1,
venomoth,49,bug,poison,I,2,venonat
diglett,50,ground,,I,1,
dugtrio,51,ground,,I,2,diglett
meowth,52,normal,,I,1,
persian,53,normal,,I,2,meowth
psyduck,54,water,,I,1,
golduck,55,water,,I,2,psyduck
mankey,56,fighting,,I,1,
primeape,57,fighting,,I,2,mankey
growlithe,58,fire,,I,1,
arcanine,59,fire,,I,2,growlithe
poliwag,60,water,,I,1,
poliwhirl,61,water,,I,2,poliwag
poliwrath,62,water,fighting,I,3,poliwhirl
abra,63,psychic,,I,1,
kadabra,64,psychic,,I,2,abra
alakazam,65,psychic,,I,3,kadabra
machop,66,fighting,,I,1,
machoke,67,fighting,,I,2,machop
machamp,68,fighting,,I,3,machoke
bellsprout,69,grass,poison,I,1,
weepinbell,70,grass,poison,I,2,bellsprout
victreebel,71,grass,poison,I,3,weepinbell
tentacool,72,water,poison,I,1,
tentacruel,73,water,poison,I,2,tentacool
geodude,74,rock,ground,I,1,
graveler,75,rock,ground,I,2,geodude
golem,76,rock,ground,I,3,graveler
ponyta,77,fire,,I,1,
rapidash,78,fire,,I,2,ponyta
slowpoke,79,water,psychic,I,1,
slowbro,80,water,psychic,I,2,slowpoke
magnemite,81,electric,steel,I,1,
magneton,82,electric,steel,I,2,magnemite
farfetch'd,83,normal,flying,I,1,
doduo,84,normal,flying,I,1,
dodrio,85,normal,flying,I,2,doduo
seel,86,water,,I,1,
dewgong,87,water,ice,I,2,seel
grimer,88,poison,,I,1,
muk,89,poison,,I,2,grimer
shellder,90,water,,I,1,
cloyster,91,water,ice,I,2,shellder
gastly,92,ghost,poison,I,1,
haunter,93,ghost,poison,I,2,gastly
gengar,94,ghost,poison,I,3,haunter
onix,95,rock,ground,I,1,
drowzee,96,psychic,,I,1,
hypno,97,psychic,,I,2,drowzee
krabby,98,water,,I,1,
kingler,99,water,,I,2,krabby
voltorb,100,electric,,I,1,
electrode,101,electric,,I,2,voltorb
exeggcute,102,grass,psychic,I,1,
exeggutor,103,grass,psychic,I,2,exeggcute
cubone,104,ground,,I,1,
marowak,105,ground,,I,2,cubone
hitmonlee,106,fighting,,I,2,tyrogue
hitmonchan,107,fighting,,I,2,tyrogue
lickitung,108,normal,,I,1,
koffing,109,poison,,I,1,
weezing,110,poison,,I,2,koffing
rhyhorn,111,ground,rock,I,1,
rhydon,112,ground,rock,I,2,rhyhorn
chansey,113,normal,,I,2,happiny
tangela,114,grass,,I,1,
kangaskhan,115,normal,,I,1,
horsea,116,water,,I,1,
seadra,117,water,,I,2,horsea
goldeen,118,water,,I,1,
seaking,119,water,,I,2,goldeen
staryu,120,water,,I,1,
starmie,121,water,psychic,I,2,staryu
mr.mime,122,psychic,fairy,I,2,mime-jr
scyther,123,bug,flying,I,1,
jynx,124,ice,psychic,I,2,smoochum
electabuzz,125,electric,,I,2,elekid
magmar,126,fire,,I,2,magby
pinsir,127,bug,,I,1,
tauros,128,normal,,I,1,
magikarp,129,water,,I,1,
gyarados,130,water,flying,I,2,magikarp
lapras,131,water,ice,I,1,
ditto,132,normal,,I,1,
eevee,133,normal,,I,1,
vaporeon,134,water,,I,2,eevee
jolteon,135,electric,,I,2,eevee
flareon,136,fire,,I,2,eevee
porygon,137,normal,,I,1,
omanyte,138,rock,water,I,1,
omastar,139,rock,water,I,2,omanyte
kabuto,140,rock,water,I,1,
kabutops,141,rock,water,I,2,kabuto
aerodactyl,142,rock,flying,I,1,
snorlax,143,normal,,I,2,munchlax
articuno,144,ice,flying,I,1,
zapdos,145,electric,flying,I,1,
moltres,146,fire,flying,I,1,
dratini,147,dragon,,I,1,
dragonair,148,dragon,,I,2,dratini
dragonite,149,dragon,flying,I,3,dragonair
mewtwo,150,psychic,,I,1,
mew,151,psychic,,I,1,
chikorita,152,grass,,II,1,
bayleef,153,grass,,II,2,chikorita
meganium,154,grass,,II,3,bayleef
cyndaquil,155,fire,,II,1,
quilava,156,fire,,II,2,cyndaquil
typhlosion,157,fire,,II,3,quilava
totodile,158,water,,II,1,
croconaw,159,water,,II,2,totodile
feraligatr,160,water,,II,3,croconaw
sentret,161,normal,,II,1,
furret,162,normal,,II,2,sentret
hoothoot,163,normal,flying,II,1,
noctowl,164,normal,flying,II,2,hoothoot
ledyba,165,bug,flying,II,1,
ledian,166,bug,flying,II,2,ledyba
spinarak,167,bug,poison,II,1,
ariados,168,bug,poison,II,2,spinarak
crobat,169,poison,flying,II,3,golbat
chinchou,170,water,electric,II,1,
lanturn,171,water,electric,II,2,chinchou
pichu,172,electric,,II,1,
cleffa,173,fairy,,II,1,
igglybuff,174,normal,fairy,II,1,
togepi,175,fairy,,II,1,
togetic,176,fairy,flying,II,2,togepi
natu,177,psychic,flying,II,1,
xatu,178,psychic,flying,II,2,natu
mareep,179,electric,,II,1,
flaaffy,180,electric,,II,2,mareep
ampharos,181,electric,,II,3,flaaffy
bellossom,182,grass,,II,3,gloom
marill,183,water,fairy,II,2,azurill
azumarill,184,water,fairy,II,3,marill
sudowoodo,185,rock,,II,2,bonsly
politoed,186,water,,II,3,poliwhirl
hoppip,187,grass,flying,II,1,
skiploom,188,grass,flying,II,2,hoppip
jumpluff,189,grass,flying,II,3,skiploom
aipom,190,normal,,II,1,
sunkern,191,grass,,II,1,
sunflora,192,grass,,II,2,sunkern
yanma,193,bug,flying,II,1,
wooper,194,water,ground,II,1,
quagsire,195,water,ground,II,2,wooper
espeon,196,psychic,,II,2,eevee
umbreon,197,dark,,II,2,eevee
murkrow,198,dark,flying,II,1,
slowking,199,water,psychic,II,2,slowpoke
misdreavus,200,ghost,,II,1,
unown,201,psychic,,II,1,
wobbuffet,202,psychic,,II,2,wynaut
girafarig,203,normal,psychic,II,1,
pineco,204,bug,,II,1,
